企业代号,销-进金额,增值税,销1,销2,销3,销4,进1,进2,进3,进4,进项发票的作废比例,销项发票的作废比例,绝对数变化,比例变化,是否扭亏为盈利,是否变为亏损,下属部门,分公司 ,公司,个体经营,评级,信誉评级,是否违约
E1,-1898184082,0,179,51,51,71,332,74,27,3,0.055797733,0.027620222,-193872136,1.720613861,0,0,0,0,1,0,1,A,否
E2,426297552.3,28261615.82,1147,268,121,43,2424,780,314,103,0.022421943,0.082002046,110302536.5,2.197674176,0,0,0,0,1,0,1,A,否
E3,514987171,88562269.38,48,48,25,14,386,103,58,23,0.042534532,0.015993021,-115477286.1,0.516353348,0,0,0,1,0,0,3,C,否
E4,1511803093,254330043.4,16,10,0,0,94,21,13,2,0.066308244,0.085163604,-1168509293,0.053642121,0,0,0,0,1,0,3,C,否
E5,691527.38,548958.88,16,15,2,0,324,47,19,2,0.039188566,0.051886792,4068217.15,85.22708692,0,0,0,0,1,0,2,B,否
E6,45673584.07,9086998.62,85,38,18,1,1170,235,96,13,0.046132134,0.132129278,14520912.32,6.220033757,0,0,0,0,1,0,1,A,否
E7,450248079.4,79329020.55,1004,101,103,3,1043,392,126,10,0.034664427,0.01435759,-170352223.8,0.282999939,0,0,0,1,0,0,1,A,否
E8,186366411.1,13359969.4,2051,428,169,31,1758,547,216,72,0.033679446,0.113103448,10175963.7,1.190343495,0,0,0,0,1,0,1,A,否
E9,294700968.1,48008699.68,26,28,24,45,497,138,72,26,0.02189611,0.024720623,8701373.76,1.102641628,0,0,0,1,0,0,1,A,否
E10,334674157.2,10308763.71,14,2,7,3,707,122,51,0,0.057847205,0.091549296,82858784.61,5.695238829,0,0,0,0,1,0,2,B,否
E11,5011729.91,2085745.11,1,1,2,0,353,96,13,3,0.042665726,0.05908684,-38346246.26,0.062246969,0,0,0,0,1,0,3,C,否
E12,119554241,12226064.87,1,3,1,0,298,77,16,2,0.021714922,0.077192982,-84557485.89,0.314231061,0,0,0,0,1,0,2,B,否
E13,114691249.5,19162604.52,2699,342,111,25,456,150,73,43,0.015888336,0.149531543,17290905.08,1.624659042,0,0,0,0,1,0,1,A,否
E14,86038310.36,17351210.64,499,176,145,0,609,170,126,0,0.077716547,0.071642686,8017782.6,1.260860968,0,0,0,0,0,1,3,C,否
E15,207585880.2,7211027.52,0,0,1,1,27,5,1,0,0,0.063018242,28666792.4,2.030952353,0,0,0,0,1,0,1,A,否
E16,209132769.2,4130668.31,34,9,8,2,63,11,3,0,0.003448276,0.111617312,39872630.5,4.427526479,0,0,0,0,1,0,1,A,否
E17,12371632.79,0,136,37,6,3,633,165,67,4,0.056157505,0.170118343,10825143.39,4.609111121,0,0,0,0,1,0,1,A,否
E18,50065149.39,0,32,5,8,1,507,94,38,2,0.053772767,0.094488189,17393819.63,25.37000438,0,0,0,0,1,0,1,A,否
E19,-10663999.95,0,359,105,32,12,112,35,15,5,0.026246719,0.089706357,457386.04,1.295208096,0,0,0,0,1,0,1,A,否
E20,-2938233.73,871931.22,20,1,3,1,51,10,8,1,0.078761062,0.051480051,4408596.54,3.448482477,0,0,0,0,1,0,2,B,否
E21,-11541727.45,2010367.05,312,13,0,0,398,67,13,2,0.071799308,0.025920873,9020452.64,-107.8554226,1,0,0,0,1,0,2,B,否
E22,39408223.26,1007767.46,29,12,3,1,54,17,8,1,0.055900621,0.125480154,34495523.8,-68.36411556,1,0,0,0,1,0,1,A,否
E23,7810606.37,1343556.27,58,27,10,23,463,150,56,13,0.03009493,0.022969188,-6130097.84,-3.152684243,0,1,0,0,1,0,2,B,否
E24,63461390.07,2581218.68,25,17,4,2,272,73,18,4,0.021006351,0.080808081,21065382.97,3.750814974,0,0,0,0,1,0,1,A,否
E25,28738558.94,4790430.02,182,37,13,1,267,76,20,4,0.013475177,0.167689162,3950781.03,1.871990389,0,0,0,0,1,0,3,C,否
E26,-1938217.2,0,29,12,1,0,80,23,9,5,0.041719343,0.107142857,801968.45,-1.535171354,1,0,0,0,1,0,1,A,否
E27,-2964169.13,0,118,36,13,10,307,66,21,9,0.035087719,0.053814714,340587.89,-4.576462138,1,0,0,0,1,0,1,A,否
E28,47653987.22,4585203.06,1,1,2,1,46,14,1,0,0.076923077,0.077328647,19643668.89,7.404078616,0,0,0,0,1,0,2,B,否
E29,45010590.57,1778869.77,1,1,1,0,15,1,1,0,0.04,0.012631579,11138949.26,1.85630192,0,0,0,0,1,0,3,C,是
E30,49372586.08,3403861.37,3,3,1,0,145,17,7,0,0.018567639,0.06625,2738199.31,1.234802735,0,0,0,0,1,0,2,B,否
E31,42826768.62,6338508.75,64,28,37,22,87,10,5,5,0.019417476,0.041027607,7131326.48,1.679119834,0,0,0,0,1,0,1,A,否
E32,41734977.49,1132413.07,9,0,1,0,207,49,16,0,0.005307856,0.152173913,11818843.08,2.063600841,0,0,0,0,1,0,2,B,否
E33,-13685226.15,3473876.56,61,16,7,0,186,42,9,3,0.123743233,0.150046598,-1247606.58,0.512545099,0,0,0,0,1,0,2,B,否
E34,30811458.94,1004529,56,6,2,0,379,56,12,0,0.103074924,0.157001414,-1442409.79,140.7276366,0,0,0,0,1,0,2,B,否
E35,1307511.65,0,20,5,4,2,57,29,13,2,0.053811659,0.042857143,4954392.81,-11.28383944,1,0,0,0,1,0,2,B,否
E36,14510309.69,1949388.05,87,60,51,0,319,62,36,0,0.045232274,0.076276665,5859723.15,3.214112585,0,0,0,0,1,0,4,D,是
E37,-1828933.02,0,219,44,12,1,55,16,7,1,0.042071197,0.06991359,20100.51,0.945329365,0,0,0,0,1,0,2,B,否
E38,33531866.64,617679.99,5,2,1,0,191,40,5,0,0.033299697,0.121019108,3241096.45,1.331340181,0,0,0,0,1,0,2,B,否
E39,28820097.95,3723255.27,1,0,1,0,44,9,1,0,0.010638298,0.106060606,13935775.47,7.45272558,0,0,0,0,1,0,3,C,否
E40,29114217.69,546512.99,452,31,0,0,641,111,29,13,0.025412961,0.093997735,13206723.03,6.115626836,0,0,0,0,1,0,3,C,否
E41,26983203.31,460999.03,5,3,3,2,369,86,23,8,0.031972455,0.087481146,12254350.03,4.989140651,0,0,0,0,1,0,3,C,否
E42,26225027.98,0,23,5,0,0,6,1,0,0,0,0.100917431,12910420.96,12.13534949,0,0,0,0,1,0,1,A,否
E43,14107614.55,711302.84,3,2,0,0,15,4,0,0,0.128205128,0.126530612,1390239.32,1.182075685,0,0,0,0,1,0,2,B,否
E44,2524250.34,326537.44,13,12,3,2,137,52,20,2,0.020833333,0.07926078,899638.66,6.562504224,0,0,0,0,1,0,3,C,否
E45,459652.75,301217.76,55,8,0,0,92,19,3,0,0.013333333,0.061538462,-697757.92,-5.818097757,0,1,0,0,0,1,2,B,是
E46,6666931.75,305058.31,104,27,8,1,342,69,21,3,0.020440252,0.087268994,1283506.09,12.06990003,0,0,0,0,1,0,3,C,否
E47,5743256.84,1001210.12,414,161,106,79,234,66,46,28,0.032358003,0.046048891,1285307.17,2.966145392,0,0,0,0,1,0,3,C,否
E48,37027025.99,5451628.06,35,13,5,6,164,43,21,3,0.020242915,0.05511811,17195806.14,5.250937641,0,0,0,0,1,0,1,A,否
E49,9628430.92,956642.35,244,4,0,0,551,130,28,4,0.026832642,0.101364522,-4707428.38,0.389280788,0,0,0,0,1,0,3,C,否
E50,16419820.69,709422.73,4,1,0,0,54,11,1,0,0.055837563,0.105263158,6781297.75,2.710812996,0,0,0,0,1,0,3,C,否
E51,7169019.19,532024.51,87,22,15,5,45,8,6,2,0.004415011,0.068156425,5553169.22,149.5400353,0,0,0,0,1,0,2,B,否
E52,1785006.11,266081.32,8,2,1,0,108,20,3,0,0.037647059,0.245382586,1095999.81,2.928640925,0,0,0,0,1,0,4,D,是
E53,1234243.06,0,33,6,4,0,48,13,1,0,0.049206349,0.127753304,244683.34,1.233460399,0,0,0,0,1,0,3,C,否
E54,24868467.73,3137410.18,700,187,212,11,347,76,28,6,0.054136253,0.081690945,3650147.27,1.559499811,0,0,0,0,1,0,1,A,否
E55,11859438.55,1377481.76,18,2,2,0,96,32,6,3,0.086269745,0.249152542,-3163800.21,0.461382188,0,0,0,1,0,0,3,C,否
E56,-1408942.97,0,21,6,6,4,114,34,9,5,0.040799334,0.074747475,590087.43,0.608077187,0,0,0,0,1,0,3,C,否
E57,2973362.72,671931.59,18,6,1,0,32,8,1,0,0.061538462,0.118721461,-2307020.6,-520.3782614,0,1,0,0,1,0,2,B,否
E58,14939854.55,1044924.28,18,2,2,0,284,52,18,0,0.028846154,0.268041237,4623582.12,2.631909484,0,0,0,0,1,0,2,B,否
E59,7399026.38,1165767.6,131,34,15,5,52,17,5,2,0.030965392,0.038157282,2076239.55,2.668089467,0,0,0,0,1,0,1,A,否
E60,3153536.31,0,3,4,1,0,102,24,2,0,0.014869888,0.173489279,2762867.14,16.64818925,0,0,0,0,1,0,2,B,否
E61,16040129.65,1704753.35,47,8,9,1,28,8,6,2,0.014150943,0.018574297,-1426691.21,0.75169374,0,0,0,0,1,0,2,B,否
E62,8262640.47,497880.69,20,4,2,1,108,27,12,1,0.005660377,0.127853881,-1325522.5,0.640706858,0,0,0,1,0,0,2,B,否
E63,10859983.19,3946576.94,29,11,2,0,237,34,19,2,0.029879212,0.071322437,-7595933.39,0.163752575,0,0,0,0,1,0,2,B,否
E64,8798256.56,55237.46,131,20,10,1,17,2,2,0,0,0.066909091,412503.15,1.153526918,0,0,0,0,1,0,1,A,否
E65,2726684.71,237765.7,36,14,4,4,21,12,5,0,0.01362862,0.06185567,745267.07,3.181304821,0,0,0,0,1,0,2,B,否
E66,-375084.44,0,113,25,12,1,19,5,4,2,0.003466205,0.075110457,1573358.29,163.8030821,0,0,0,0,1,0,2,B,否
E67,4315445.45,99554,18,3,2,0,157,25,12,1,0.030911901,0.106976744,2189387.65,5.055198896,0,0,0,0,1,0,2,B,否
E68,5866711.11,89627.09,5,2,0,0,1,1,0,0,0,0.109589041,-2731449.09,0.364643359,0,0,0,0,1,0,3,C,否
E69,3636062.74,109081.89,12,4,2,0,1,0,0,0,0,0.109028961,2661870.58,9.974805767,0,0,1,0,0,0,3,C,否
E70,3595798.73,580622.56,39,8,5,3,138,29,13,7,0.022963368,0.188581315,-2036647.49,0.059261052,0,0,0,0,1,0,2,B,否
E71,417041.18,0,260,18,4,0,214,48,19,0,0.042891183,0.042666667,5842485.55,-0.270946377,1,0,0,0,1,0,2,B,否
E72,2943665.95,0,25,3,0,0,41,9,3,0,0.025641026,0.290322581,1453197.42,-13.39267755,1,0,0,0,1,0,3,C,否
E73,5350093.41,909143.31,48,7,2,1,84,21,8,5,0.00990099,0.055084746,-1344863.84,0.494727487,0,0,0,0,1,0,3,C,否
E74,3649790.04,0,8,6,3,2,7,1,0,0,0,0.077477477,1388223.66,6.797415479,0,0,0,0,1,0,2,B,否
E75,3859608.51,26412.04,7451,9,2,1,34,12,4,3,0.025362319,0.068284229,-1700637.8,0.219843181,0,0,0,0,1,0,3,C,否
E76,3156443.92,203043.27,58,4,9,2,78,16,7,1,0.011428571,0.089795918,940249.39,2.752940948,0,0,0,0,1,0,2,B,否
E77,3607798.82,159249.17,0,1,1,0,13,2,0,1,0.018518519,0.023255814,-759119.19,0.402139273,0,0,0,0,1,0,3,C,否
E78,6029427.49,260670.99,30,5,2,0,11,4,1,0,0,0.074626866,-2691870.88,0.187109816,0,0,0,0,0,1,3,C,否
E79,363491.02,0,9,4,1,1,30,11,3,2,0.012987013,0.139534884,1034964.7,-1.507861627,1,0,0,0,1,0,2,B,否
E80,1148651.19,27552.75,38,0,0,0,82,15,6,0,0.012658228,0.020833333,3297244.36,-5.026949012,1,0,0,0,1,0,3,C,否
E81,1330514.4,221435.23,70,30,17,2,49,13,5,1,0.028436019,0.061633282,182894.31,1.580709088,0,0,0,0,1,0,1,A,否
E82,1385376.45,238891.41,7,0,1,0,41,17,10,0,0.012698413,0.023323615,118211.17,1.384650542,0,0,0,0,1,0,4,D,是
E83,-34876613.63,0,130,30,0,0,162,52,37,8,0.066089965,0.080736544,-11859813.95,3.545184778,0,0,0,0,1,0,2,B,否
E84,3392431.19,521610.51,24,7,4,0,16,1,1,1,0.018518519,0.106425703,641060.92,1.908647944,0,0,0,0,1,0,1,A,否
E85,2247393.78,55871.8,14,6,1,2,25,6,6,1,0.004366812,0.156996587,509292.93,3.370016672,0,0,0,0,1,0,2,B,否
E86,411411.22,54856.36,3,4,0,0,29,6,1,0,0.007246377,0.136363636,-606338.28,0.224465111,0,0,0,1,0,0,3,C,否
E87,2288881.09,240920.4,5,4,3,1,62,17,2,1,0.021108179,0.040540541,674008.58,3.983327704,0,0,0,0,1,0,3,C,是
E88,1877583.81,160137.38,78,8,0,0,17,7,1,1,0,0.09,181422.33,1.393914056,0,0,0,0,1,0,1,A,否
E89,-824452.26,159405.57,16,4,4,0,6,5,1,0,0.030769231,0.040697674,2630392.22,-0.244160693,1,0,0,0,1,0,1,A,否
E90,2488785.48,167307.28,38,8,3,0,29,6,0,0,0.028776978,0.283524904,426767.62,1.71430123,0,0,0,0,1,0,3,C,否
E91,930397.99,148985.33,65,7,1,0,20,8,6,1,0.050847458,0.046511628,267744.88,2.254806928,0,0,0,0,1,0,1,A,否
E92,2060494.4,55579.19,11,2,0,0,73,12,4,0,0.004694836,0.076923077,1226750.25,4.818772443,0,0,0,0,1,0,3,C,否
E93,1158753.81,26196.36,19,5,4,0,53,8,4,0,0.023474178,0.047297297,190487.11,1.773236926,0,0,0,0,1,0,2,B,否
E94,1039150.21,29299.68,54,2,0,0,4,0,0,0,0,0.091836735,296547.2,2.761899454,0,0,0,0,1,0,3,C,否
E95,2309683.68,69258.77,446,32,7,0,0,0,1,0,0,0.053669222,-173150.47,0.762139235,0,0,0,0,1,0,2,B,否
E96,-880797.48,0,3,0,0,0,4,2,0,0,0,0.1,1348697.76,33.85250329,0,0,0,0,1,0,3,C,否
E97,952646.12,28016.78,44,17,2,0,1,0,1,0,0,0.034090909,428086.28,2.842571436,0,0,1,0,0,0,2,B,否
E98,1203728.22,31893.6,20,3,2,0,25,1,1,0,0.019607843,0.130718954,-106852.63,0.805678733,0,0,0,0,1,0,2,B,否
E99,-5203665.22,0,1,1,0,0,73,7,1,0,0.010227273,0.375,-1114717.37,-1.215629991,0,1,0,0,1,0,4,D,是
E100,650279.93,17886.26,9,2,1,1,15,5,1,0,0,0.01010101,-111912.9,0.641697941,0,0,0,0,1,0,4,D,是
E101,294643.81,44576.19,2,0,0,0,4,2,0,0,0,0.492063492,-119859.57,0.421671447,0,0,0,0,1,0,4,D,是
E102,-2841555.25,0,91,7,2,0,28,21,12,9,0.02739726,0.146892655,43268.35,0.951715913,0,0,0,0,1,0,4,D,是
E103,990178.47,62712.09,16,3,0,0,56,7,2,0,0.01744186,0.15625,49319.54,1.085415704,0,0,0,0,1,0,4,D,是
E104,262386.36,7863.64,10,0,0,0,1,0,0,0,0,0.095238095,103233.01,2.299433945,0,0,0,0,1,0,3,C,否
E105,917382.45,26701.44,101,0,0,0,2,2,0,0,0,0.008196721,-134853.56,0.572421947,0,0,1,0,0,0,3,C,否
E106,526975.73,15241.03,95,6,2,0,15,4,0,0,0.027777778,0.098039216,139940.23,2.157468663,0,0,0,0,1,0,2,B,否
E107,682155.01,40934.99,2,0,1,0,5,2,0,0,0,0.37037037,600297.72,10.30893452,0,0,0,0,1,0,4,D,是
E108,92174.11,0,18,1,0,0,51,18,1,0,0,0,-123849.11,0.035964429,0,0,0,0,1,0,4,D,是
E109,439509.33,13926.67,16,1,0,0,5,2,0,0,0,0.303030303,274393.5,7.229384822,0,0,0,0,1,0,4,D,是
E110,195956.47,5831.04,29,5,0,0,0,0,1,0,0,0.253012048,21642.65,1.78831463,0,0,1,0,0,0,3,C,否
E111,124997.02,100848.16,5,0,1,3,74,15,4,2,0.050359712,0.184,-271144.93,-2.37302917,0,1,0,0,1,0,4,D,是
E112,86946.74,19202.37,1,1,0,0,17,6,2,0,0.037735849,0.272727273,208206.57,2.69992051,0,0,0,0,1,0,4,D,是
E113,-1006740.82,0,2,1,0,0,26,8,1,0,0.019230769,0.340425532,-82420.22,-0.038912999,0,1,0,0,1,0,4,D,是
E114,-397912.31,0,19,1,3,0,15,4,1,0,0.092105263,0.12,-356779.9,-5.032003203,0,1,0,0,1,0,4,D,是
E115,55005.68,1634.32,3,0,0,0,2,0,0,0,0,0.333333333,35728.16,4.706717462,0,0,0,0,1,0,4,D,是
E116,228821.67,6742.4,24,1,0,0,8,0,0,0,0,0.085106383,-75814.26,0.066151003,0,0,0,0,1,0,4,D,是
E117,516642.52,1405.48,0,1,0,0,3,0,0,0,0,0.409090909,211072.46,2.381499614,0,0,0,0,1,0,4,D,是
E118,120774.03,0,111,5,0,0,7,2,0,0,0.068965517,0.055555556,-141118.15,-0.339462906,0,1,0,0,1,0,4,D,是
E119,-184120.28,0,12,1,1,0,7,6,2,2,0.003174603,0.142857143,-68619.22,6.999116995,0,0,0,0,1,0,4,D,是
E120,162416.14,3780.94,6,0,0,0,13,3,0,0,0.027777778,0.689655172,8830.95,1.139033405,0,0,0,0,1,0,4,D,是
E121,-972024.16,0,110,6,0,0,7,2,2,0,0,0.123655914,690652.18,-0.075121715,1,0,0,0,1,0,4,D,是
E122,7342.16,0,67,2,0,0,18,3,1,0,0.020833333,0.13559322,-27347.29,-0.681495628,0,1,0,0,1,0,4,D,是
E123,199443.4,27276.3,3,1,1,0,1,1,0,0,0,0.492307692,17453.84,1.824360564,0,0,0,0,1,0,4,D,是
